,FN_text,FN_index
0,espn curious if you have ever considered playing fantasy football,20924
1,cocky attempt to operate atm in spanish backfires,17972
2,cricket located,19657
3,state bird reconsidered after latest wren attack,16079
4,obama under fire for playing t-ball during vietnam,26999
5,johns hopkins doctors perform first successful surgery on broken thumb,52431
6,de blasio courts iowa voters by winning 'largest candidate' at polk county fair,31199
7,48 syrian civilians massacred during claire danes' emmy award acceptance speech,26686
8,5-year-old alabama boy misses fun 'bunker grandpa',40676
9,conservative acquaintance annoyingly not racist,10880
10,"'fear not—she means you no harm,' says elizabeth warren, revealing docile hillary clinton to crowd",45082
11,inside: the fetish photography of german chancellor helmut kohl,23091
12,$30 million donation from chan-zuckerberg charity to help kids learn to read returned,32048
13,boss's clout evaporates after he's seen in shorts at company picnic,7790
14,alabama forced to release thousands of sex offenders after inmates deny charges,33938
15,rnc taps dennis hastert to lead new youth outreach program,27026
16,compassionate fisherman doesn't have heart to throw trout back into incredibly polluted lake,50991
17,cannon overshoots tim kaine across wells fargo center,25474
18,tupperware will never truly recover from red curry leftovers,65
19,"'becoming a mother has been the most thrilling experience of my life,' reports woman fleeing hospital with stolen baby",48986
20,puerto rico celebrates dependence day,54211
21,300 million without electricity in india after restoration of power grid,3480
22,new 'star wars' film once again disappoints die-hard nien nunb fans,32737
23,g20 leaders attend saudi crown prince's informative seminar on eliminating dissident journalists,38633
24,clinton 'very disappointed' in missouri,45879
25,unbeatable 'jeopardy!' champ says key to success is threatening other contestants with nail-studded baseball bat during commercials,51383
26,the arts: what were they?,43348
27,john boehner calls for national guard to deal with illegal immigrants hiding in mexico,8678
28,gerbil running late will have to eat her babies on the go,54391
29,280 days of meryl streep's year spent being honored,45020
30,christianity celebrates one billionth unanswered prayer,45114
31,nbc on olympics coverage: 'sorry we didn't alter the laws of space and time to accommodate people's schedules',18079
32,clinton hitchhikes to st. louis for jazzfest,49391
33,everyone in pride parade straight,53422
34,l.a. grants clippers $12 for new nets,49282
35,winter storm threatens homeless man's plans to survive over thanksgiving,53167
36,church member not the same since unsuccessful choir tryout,18180
37,mario batali reduced to selling bowl of ravioli on craigslist,30310
38,real-life nancy drew traces source of her hpv,52133
39,gop officials: kavanaugh shouldn't be held accountable for something he did as white teenager,35357
40,need for more places to sit becomes election's most important issue,35606
41,trump revokes puerto rico recovery funds after learning hurricane maria had fewer survivors,42337
42,fans of victorious nobel laureates riot in stockholm,43404
43,12-year-old who got her hair curled for spring dance the very image of old hollywood glamour,38169
44,a&e biography host peter graves comes out in ellen-inspired ratings grab,9618
45,uber offering discounted wages for election day,38408
46,pope francis donates clothing to needy refugees,34724
47,ray-ban a little unsure public can pull off 2012 series of sunglasses,24745
48,"honest, hardworking man leans against reliable pickup truck",23845
49,least corrupt politician in illinois history sentenced to 14 years in prison,26043
50,gerbil running late will have to eat her babies on the go,22260
51,"scott bakula turns 43, newspaper reports",47917
52,beautiful spring day no match for last 35 years of man's life,39729
53,"cameraman strikes gold with tubby fan eating ice cream, dancing, holding baby",47291
54,jeremy piven outraged microsoft word doesn't recognize his name,35011
55,600-pound butter cow sculpture wins iowa caucus,27010
56,open casket really ruining vibe at funeral,10014
57,mama duck doesn't recall asking for injured baby to be rescued from road,49066
58,is your privacy being violated? an exclusive hidden-camera investigation,26123
59,pacific ocean quarantined after contact with carnival cruise ship,17077
60,woman injured in hostile makeover,41141
61,peaceful protest interrupted by swarm of aggressive black-clad militants,23834
62,47 weak-willed senators bend to interests of powerful american people,44068
63,supporters aggravated bernie sanders didn't use dnc speech to get voters to act against their own self-interest,36620
64,5 states to decide whether to legalize marijuana or continue honoring god,25701
65,john boehner calls for national guard to deal with illegal immigrants hiding in mexico,35405
66,gop warns refugees likely to be driven to terrorism by way america would treat them,35162
67,winter storm threatens homeless man's plans to survive over thanksgiving,26169
68,wildfires force colorado to airlift rocky mountains to safety,4373
69,giuliani puts odds of trump-mueller interview at 50-65,30318
70,fabled lost city of gold finally discovered off i-95 outside baltimore,46710
71,"rick perry speech electrifies 1,200 scared, miserable racists",35563
72,'rock the vote' propels metallica to senate,3027
73,anonymous source: 'i'm a cowardly snitch',8317
74,"larry nassar: 'who among us hasn't made a mistake repeatedly and with wild, shameless abandon?'",5290
75,veteran told what offends him,21163
76,catherine zeta-jones happy to see people on internet would still hit that,4727
77,report: one in five women training to be yoga instructors,10868
78,"russian interference had no impact on election, reports website created 8 minutes ago",12057
79,progressive charter school doesn't have students,24451
80,no one in group admits girls' night out a colossal failure,16082
81,dan quayle on standby to take over as bush family patriarch after george h.w. admitted to icu,52421
82,"aol/time warner turmoil over-reported, says time",38460
83,extension cord on stage steals spotlight from jeb bush during campaign rally,43316
84,panic floods mike pence's system before realizing hand on knee his own,29244
85,boilermakers protest purdue's mascot,26136
86,woman injured in hostile makeover,8408
87,congolese rebel can't bring himself to care about congolese war,35371
88,"word 'innovate' said 650,000 times at sxsw so far",30414
89,mike pompeo defects to north korea after learning about kim jong-un's torture program,41233
90,'new york times' rehires judith miller to cover escalating iran tensions,31832
91,dad's been on a parenting kick lately,5378
92,families of missing flight passengers just hoping media gets closure it needs,26772
93,supreme court issues 7-1 decision to find scalia's killer,50256
94,hollywood's biggest stars endure long lines at oscars security screening,21017
95,louvre curators hurry to display ugly van gogh donor gave them before surprise visit,38260
96,george jefferson honored for black television history month,36267
97,some guy who's not stephen colbert to deliver college's commencement speech,16293
98,dean cain fanpage last updated 8/14/96,37563
99,"after careful thought, teen applies to college where family donated building",35943
100,son attempts to cultivate parents' interest in better movies,38912
101,"brilliant, innovative ceo just wrote words 'social media' on whiteboard and underlined it",26900
102,golden retriever mauls 5 in huge victory for pitbull apologists,50067
103,"aol/time warner turmoil over-reported, says time",24978
104,florida passes strict ban on being unarmed,49038
105,senatorial candidate challenges opponent to drop out of race,27278
106,united airlines updates policy on allowing dogfights in passenger cabin,55150
107,jay leno reconsiders retirement after georgia woman sets boyfriend's crotch on fire,28396
108,exasperated huckabee sanders reminds press corps that children under 14 can't feel pain,26860
109,the media: are they media-obsessed?,4803
110,jeremy piven outraged microsoft word doesn't recognize his name,26140
111,"'captain actual america' overweight, hopelessly in debt",12729
112,senate rejects pipeline plan that would have created thousands of climate activist jobs,29910
113,man with 20 rifles can't remember if his goal to start or stop violent overthrow of government,17400
114,furloughed bison pour back into national parks after government reopens,35769
115,u.s. adds 4 million jobs but in st. louis,18949
116,charlottesville suspect might have received tacit support from high-level government figure,29455
117,report: countless invasive species detained in epa black sites,35823
118,third knocked-over glass of water makes man want to give up,43387
119,afterbirthers demand to see obama's placenta,32422
120,"music playing in bar could stand to be louder, worse",14409
121,local radio station has got some doobie brothers coming up for you,43219
122,"obama's record-breaking fundraising effort bankrupting npr, world wildlife fund, aclu",11692
123,rwandan refugees angered over lack of aol access,3260
124,chevron touts green initiative with hybrid-powered oil drilling platforms,9461
125,koch brothers encouraging youth to make voices heard by registering super pac,37032
126,your dog died,25545
127,johns hopkins doctors perform first successful surgery on broken thumb,8477
128,heavy police presence in ferguson to ensure residents adequately provoked,38352
129,loophole in curse lets archaeologist off the hook,15340
130,first day of school photos a chance to see how much cousin's kids are chunking out this year,32730
131,"pope benedict leaves church in helicopter with lebron james, paul feig for some reason",9998
132,man in international airport only speaks business,23151
133,"mainstream media at it again, bloggers report",53962
134,sean spicer walking around white house in sunglasses and baseball cap to avoid press,43876
135,parents of adorable baby on tv show most likely insane,37950
136,sanders supporters viciously attack bernie sanders after he criticizes mistakes of 2016 sanders campaign,43190
137,grasshopper dismembered by future supreme court justice,22681
138,single fat kid takes 50 years off jungle gym's life,4735
139,"'fear not—she means you no harm,' says elizabeth warren, revealing docile hillary clinton to crowd",19026
140,focus groups hated it right up until guy's head got cut off,25550
141,congress splits into male and female senators to discuss newest reproductive bill,35126
142,"they might be giants behind the music episode lacks sex, drugs",43062
143,pope francis pardons those who dodged the draft during crusades,4771
144,obama turns 50 despite republican opposition,4712
145,"man who will pay $60,000 in medical bills this year can't afford health insurance right now",40432
146,nobody in ukraine notices absence of government,44772
147,cleveland indians owner admits chief wahoo no longer compatible with modern revenue growth expectations,34648
148,senatorial candidate challenges opponent to drop out of race,10710
149,"mike pence criticizes venezuela's use of torture, starvation on non-homosexual citizens",41013
150,girl in park acts like it's no big deal she's wearing bikini,20673
151,"trump, putin hold first joint press crackdown",43579
152,ann coulter attacks trump for cowardly backing down from full on race war,52955
153,morning after morning after pill re-impregnates guilt-ridden women,1512
154,voters shocked christie botched such an easy political cover-up,451
155,"convict sentenced to generating $80,000 to $100,000 in profits for private prison",39879
156,report: one in five women training to be yoga instructors,30992
157,"they might be giants behind the music episode lacks sex, drugs",2668
158,unclear if fountain is the type you're allowed to run around in,31323
159,280 days of meryl streep's year spent being honored,2411
160,john boehner beheads juarez cartel member who dared muscle in on his legal weed turf,46804
161,compassionate trump issues full presidential pardon for robert mueller,37714
162,inside: the fetish photography of german chancellor helmut kohl,28256
163,l.a. grants clippers $12 for new nets,106
164,afterbirthers demand to see obama's placenta,26393
165,roy moore refusing to withdraw from alabama 13-year-old,1105
166,sesame street mourns death of original letter k,26516
167,americans hopeful this will be last mass shooting before they stop on their own for no reason,32814
168,alpha trick-or-treater established by third house,19349
169,louvre curators hurry to display ugly van gogh donor gave them before surprise visit,6504
170,senators wish domenici would bring dog to work more often,16184
171,kendrick lamar deletes 'rhymezone.com' from internet history,43050
172,thieves make off with museum's most valuable docents,16087
173,trump fulfills campaign promise of pushing major immigration decision on someone else so he can watch tv,837
174,katie couric winces at word 'vagina',54209
175,former chinese dissident has your order ready,53234
176,bangladesh runs out of people,29014
177,progressive charter school doesn't have students,39997
178,climate scientists confirm there's still time to blow up the earth,33066
179,fbi shuts down prominent new isis recruitment website,26964
180,ivana trump calls ex-husband to ask him what he did to her beautiful baby boy,53005
181,drew carey signs 75-year contract to host the price is right,35975
182,irish-americans gear up for 'the reinforcin' o' the stereotypes',26653
183,300 million without electricity in india after restoration of power grid,43865
184,tic-tac-toe grandmaster devises brilliant new gambit,34852
185,$14.5 billion pledged to rebuild battleground states,14426
186,airbnb user loves how easy website makes it to ejaculate in stranger's sink,21011
187,"'cooking together is so fun,' says man correcting girlfriend's every knife cut",33904
