,FP_text,FP_index
0,"paul ryan's remarkable, personal demand for becoming speaker",37390
1,nevada must not allow a death row inmate to 'volunteer' for execution by fentanyl and other drugs,48855
2,woman shuts down dude who demanded $5 back for coffee date,26401
3,photographer documents her grandmother's illness while searching for something more,39450
4,sam bee presents horrific tales 'coming from inside the white house',52627
5,dad's fake movie poster gives bedtime with a toddler the dramatic treatment it deserves,5711
6,harambe's grandmother euthanized at miami zoo,32244
7,joy reid's hacking claims look increasingly unlikely,43710
8,educator cuts deal in teacher cheating scandal,5983
9,leslie jones website hack under investigation by department of homeland security,8550
10,police leaders join effort to reduce incarceration rate,2846
11,purdue university erases video of nsa surveillance speech to obey government censorship rules,7623
12,to hope again,33487
13,medical professionals fact-check 'grey's anatomy' sex scenes,33616
14,presidential hopefuls ham it up at iowa state fair,11433
15,still edgy after all these years: jacaranda music's first decade,41194
16,puking statue will make you feel sick -- but you need to look,47168
17,american airlines merger settlement approved by u.s. judge,51169
18,cia torture's immeasurable damage to u.s. global leadership,24826
19,at&t set to announce directv acquisition sunday,28831
20,montreal's osm concludes couche-tard virée classique with record attendance,9111
21,this water bottle for bikes turns air into water as you ride,52218
22,suspected killer of little girl worked for police,27474
23,home invasion prompts neighbors to invest in security,47499
24,trump suggests iran brought deadly terrorist attacks upon itself,41939
25,"fans, music greats mourn loss of mr. rock 'n' roll chuck berry",6762
26,"new fathers suffer from postpartum depression, too",22455
27,france launches new effort for middle east peace,2339
28,bill clinton reveals what he misses most about being president,30112
29,"dogs smell grandma's scent, set off on quest to find her",40337
30,steven avery has no doubts he'll be a free man again after nephew's conviction overturned,27497
31,no man in u.s. history has ever done what bill clinton is about to do,43792
32,time magazine's rape crisis article,37189
33,"enormous, humongous march trade deficit creating jobs elsewhere",23539
34,cross-shaped wwi monument declared unconstitutional,19580
35,man says he lived in his car for days to get away from 'nagging' wife,33196
36,growing up in scouting's closet,9412
37,starved dogs thrown from van are learning to trust humans again,41171
38,police have no idea how laquan mcdonald footage vanished right after they watched it,26605
39,"'everything, everything' answers calls for more movies about women of color just being women",29852
40,rattlesnakes have been observed,50999
41,scottish independence: proudly small or proudly together?,27294
42,"someone stole a ton of very, very valuable bull semen",25712
43,praise tree-sus! man sees jesus in tree trunk (photo),12694
44,clean machine,20825
45,15 hours overnight at seoul's incheon airport with kids,29528
46,was ryan gosling first choice for people's sexiest man alive?!,46782
