,FN_text,FN_index
0,new york's finest protect new york's richest,22
1,astronaut piloting cargo ship leaves note on side of iss after accidentally knocking off solar array,25
2,police homicide investigation uncovers cap in ass,28
3,conspiracy theorist starting to think racism may be institutionalized in america,93
4,martin shkreli faces rough stay in prison system where inmates who funded hair theft are lowest caste,115
5,'please don't feed the poor' campaign catching on,134
6,'brain games' recalls thousands of defective word puzzles that gave users alzheimer's,141
7,slain cop had only 37 years until retirement,164
8,cigarette tax hike to pay for iraq war,174
9,wallace shawn emerges as frontrunner to replace daniel craig as james bond,212
10,rnc taps dennis hastert to lead new youth outreach program,213
11,mitt romney reaches out to young voters with laser tag pizza party,244
12,virginia shooting somehow proves what every single american has been saying all along,262
13,iran promises to end nuclear program in exchange for detailed diagram of atomic bomb,271
14,new hampshire returns to obscurity,279
15,proud billionaire helps young son open first offshore bank account,302
16,helpful museum map highlights exhibits visitors don't have to feel too bad about skipping,307
17,"new legislation would shut down u.s. education system, give each american student $3,000 to start own small business",323
18,mom keeps sending newspaper clippings about former classmates who have been murdered,324
19,bollywood remake of fahrenheit 9/11 criticizes bush administration through show-stopping musical numbers,335
20,chuck schumer condemns mitch mcconnell for being way better at this than him,339
21,"authorities claim the true austin bomber was everyone who failed this sensitive, promising kid",364
22,breaking: 'the onion' in kill range of boston bomber suspect,369
23,"indonesian mother sews halloween costumes for 60,000 children",395
24,right-to-kill advocate opposes right-to-die measure,408
25,auto industry agrees to install brakes in suvs,415
26,29-year-old has blast writing his will,455
27,alcoholic's plan for turning life around doesn't involve getting sober,459
28,sports psychologists suggest tiger's slump may be because of all that shit he went through,479
29,"nytimes.com's plan to charge people money for consuming goods, services called bold business move",487
30,matt gaetz insists pointing rifle at michael cohen throughout testimony not witness intimidation,492
31,garroting survivors call for wire ban,513
32,hate-crime bill stalled by pro-hate lobby,555
33,tucker carlson challenges alexandria ocasio-cortez to a date,567
34,"new romney ad claims candidate does not oppose women in cases of rape, incest",585
35,new religious freedom bill gives small business owners right to annul any gay marriage,586
36,standoff in ivory coast threatens to boil over into full-scale news blurb,626
37,inside: what the stars were wearing at terrible movie's gala premiere,686
38,madeline albright sworn in as secretary,724
39,dozens of social issues thankful they never had to go toe-to-toe with muhammad ali,733
40,chris farley has hilarious cardiac arrest,783
41,ergonomic advisors call for $30 million in federal lumbar support,796
42,annoying ad turns man pro-whaling,804
43,frat nutritionists dare americans to swallow more live goldfish,846
44,shaken secretary of transportation reduces speed limit to 5 mph after witnessing accident,858
45,"michele bachmann figures why not, introduces homosexual-beheading bill",877
46,stormy daniels '60 minutes' interview leads to spike in pornhub searches for anderson cooper,908
47,new pre-sauced napkins can be thrown away straight from package,921
48,paul ryan calls on trump to take dismantling of america more seriously,924
49,police finally make breakthrough in decades-old marijuana possession cold case,931
50,facebook apologizes for giving mark zuckerberg a platform,941
51,terrier bravely defends family from squeak,944
52,therapists recommend treating people like shit if you're having a bad day,960
53,relatives gather from across the country to stare into screens together,965
54,facebook offers to freeze female employees' newborn children,973
55,donald trump spends another valentine's day completely alone,995
56,"chelsea clinton: 'my mother will shape this country into a strong, independent young woman'",1099
57,if area dad steps on legos one more time,1103
58,mom wants to know if the people who live in your apartment building are nice,1107
59,doctors: cancer patients who watched the onion's amazon pilot daily showed signs of remission,1157
60,cops cleared on corruption charges after implicating decorated police dog,1162
61,next week's school shooting victims thank senate for failing to pass gun bill,1229
62,"interpol admits 89% of its cases involve finding, recovering the 'mona lisa'",1247
63,tom delay to pursue corruption in private sector,1250
64,ruth bader ginsburg returns to off-season lifeguarding job,1273
65,anti-mdma campaign warns teens about dangers of feeling more connected to others,1279
66,dell acquired by gateway 2000 in merger of 2 biggest names in computer technology,1358
67,check it out: deer,1447
68,dip good,1463
69,detectives overlooked casey anthony's 'i killed my daughter' ama on reddit,1467
70,breast implants found to cause problems in laboratory mice,1470
71,lawrence the t-1 connection guy hit of white-collar comedy tour,1480
72,rising star john kerry's stirring speech paves way for 2016 presidential run,1493
73,gop 'ins' alabama representative,1511
74,target of future drone attack urges american intervention in syria,1514
75,search for 'kick-ass shelves' continues,1536
