,FP_text,FP_index
0,happy international childfree day! announcing 2014 childfree woman and man of the year,29
1,teen disfigured by catcaller's pipe attack,32
2,trump suggests iran brought deadly terrorist attacks upon itself,38
3,arkansas plans to execute 2 convicted killers on monday,39
4,pele hospitalized for back surgery,41
5,china's sexiest panda obliterates own record in latest sex romp,104
6,testing: enhanced interrogation in the classroom,130
7,dad's reindeer drone perfectly tackles son's christmas fears,136
8,men behaving badly,198
9,"black, male, mad as hell",203
10,google still a long way from meeting diversity goals,226
11,internet charmed by viral photo of teen working to pay for first real date,261
12,emeritus pope benedict to attend weekend's canonizations,277
13,football's black eye,311
14,"loose-lipped rudy giuliani does not represent u.s. on foreign policy, warns state department",341
15,body found near where kayaker went missing,371
16,greek and turkish cypriots find common ground in effort to restore dilapidated monastery,402
17,madonna teases new song at surprise met gala performance,475
18,cowpoke lassoes calf while perched on moving cop car,484
19,"emerald nuts, roland peppers recalled for possible glass contamination",493
20,report: kimora lee is pregnant,533
21,comic takes your awful first date to its logically terrifying extreme,569
22,pearl harbor survivors do the mannequin challenge like seasoned pros,596
23,new yorker releases cover it would have run if hillary clinton had won,599
24,'very angry badger' seizes part of 500-year-old scottish castle,655
25,paul rudd celebrates kansas city royals' win by getting showered with beer,681
26,man huffs keyboard spray after crash as cop watches,697
27,woman claims to reenact michael phelps affair in 'going for the gold' porno,795
28,mc hammer is actually afraid of hammers,803
29,nypd arrests down for second week,810
30,ammon bundy says he's following directions from god,837
31,older but still young at heart,839
32,conservative fury falls on ryan,899
33,mcdonald's musical ad targets hispanics with princess of bachata,930
34,new mayor drives around in giant snail car,947
35,uber escalates war with regulators over self-driving cars,950
36,passport robot tells man of asian descent his eyes are too closed,958
37,sessions launches team trump's russia counteroffensive,962
38,david bowie's son welcomes baby boy exactly six months after singer's death,972
39,aid for syrians stuck on border due to political bickering,983
40,magical rainbow ring caught on camera from drone,1028
41,hannibal buress arrested for disorderly intoxication in miami,1035
42,scared of dying,1045
43,pwc confirms partner responsible for best picture mishap,1058
44,study can't confirm results of many psychology experiments,1060
45,david axelrod suggests hillary clinton will be seen as less complex alternative to obama,1130
46,full-circle friendship rooted in triple negative breast cancer,1141
47,selfie-hating photobomber gets treated to epic photoshop battle,1190
48,"overheard in minnesota, dontcha know?",1235
49,sean spicer finally calls it quits after 6 months of humiliations,1319
50,matador fatally gored after he trips on cape in french bullring (warning: graphic video),1337
51,joan rivers remembered,1410
52,city offers free pot for the poor,1429
53,drought costs californians an extra $2 billion in electricity expenses,1491
54,still no drinking water in ohio's 4th largest city,1527
55,trump blows up statue of liberty,1543
56,theater community receives death threats following 'julius caesar' controversy,1544
57,the undocu-care-van heads to sacramento,1560
58,north korea test-fires ballistic missile in defiance of world pressure,1613
59,rand paul ends daylong nsa 'filibuster',1638
60,"rupaul on trump: 'pardon me madame, but the emperor has no clothes!'",1639
61,mccain to hillary clinton: 'you've got to move on',1666
62,grindr now offers reminders for users to get regular hiv tests,1667
63,"3,500-year-old dagger was used as a doorstop",1671
64,farting teen sparks fight,1678
65,dog gives priceless reaction when owner pretends to faint,1705
66,prank changes highway sign to reference 'christmas vacation',1879
67,lincoln memorial pool to be drained after 80 ducklings die,1883
68,jimmy carter recovers from dehydration scare in canada,1928
69,fourth death in new york legionnaire's disease outbreak,1932
70,librarian who amassed millions by living humbly leaves entire fortune to college,1988
71,twitter reminds alec baldwin at least he has a job for next 4 years,2093
72,rebel grandma sneaks out of care home to get a tattoo,2100
73,ambitious test on tap for real-life 'flying saucer',2125
