,headline,is_sarcastic
53746,this rescue pit bull made his bed every day while waiting to be adopted,0
15734,nation gathers around area man trying to parallel park,1
15471,i am tired of the hypocrisy,0
10583,shrinking majority of americans supports marijuana legalization,0
14270,area woman encouraged by sight of other woman drinking beer alone at airport bar,1
47211,"george r.r. martin announces next book to feature pixies, dracula",1
19661,election night orgy shifts positions so everyone can see results come in,1
28686,"'that seems about right,' says soon-to-be-audited man",1
43470,sports section tragically missing,1
39587,nurturing mama: 5 ways that taking care of yourself is a gift to your child and family,0
49805,"this hotel a goddamn maze, reports father",1
12417,f. gary gray likely to direct 'fast & furious 8',0
42393,entire southern border somehow on fire 10 minutes after kushner begins tackling immigration system,1
32062,perfect response to heckler somewhere in prop comedian's trunk,1
43424,"from a fatherless daughter: dads, you're doing it right",0
52231,february is historical accuracy month,0
48705,trump and america's big black eye,0
24718,man scolded by brother-in-law for not taking better advantage of open bar,1
19200,4 people stabbed on amtrak train in michigan,0
30491,"emmanuel macron amused by little differences in french, american islamophobia",1
42242,steven spielberg joins dc universe for 'blackhawk' film,0
54033,13 tough life situations -- and the perfect books to get you through,0
13988,replacement socialite cunt sought for simple life cast,1
40899,outside money surge makes kansas senate race costliest in state history,0
32579,polling place in predominantly black neighborhood clearly brick wall with door painted on,1
9556,"group buys fishing net so others can't, will save up to 10,000 sharks",0
29419,adam smith vs. ayn rand,0
2148,sounds of air hockey coming from supreme court chambers,1
46529,17-year-old snowboarder wins united states' first gold medal in pyeongchang,0
32661,frat nutritionists dare americans to swallow more live goldfish,1
30459,nicole richie's beautiful figure ruined by pregnancy,1
6833,"increasingly obsessed robert mueller forces wife to dye hair blond, dress like ivanka",1
49217,fourth tool discovered,1
11613,read this before you plop your v-day flowers into any old vase,0
54663,teen publication takes bold anti-peer-pressure stance,1
12836,news of uncle's death deleted by spam filter,1
44786,college-aged daughter against using straws now,1
6867,heartfelt apology robs man of cherished grudge,1
21447,"20 years after oklahoma city bombing, words still matter",0
50212,23-year-old arrested for failure to own halogen lamp,1
36885,man spends entire marketing meeting nodding,1
16662,derek jeter flawlessly hustled president obama in a round of golf,0
52527,roy moore disgusted by thought of groping breasts of sexually mature woman,1
32873,routine drunk-driving trip turns tragic for five local teens,1
44732,congress finally passes bipartisan legislation to address opioid epidemic,0
30822,koko the gorilla now just flipping everybody off,1
13390,latest online security breach forces mom to change post-it,1
24441,new editorial argues you can't out-exercise a bad diet,0
5346,"a 2,000-year-old thanksgiving psalm",0
16395,kesha thanks fans 'a million times over' in first public statement,0
55117,puerto rico loses it as monica puig wins island's first-ever olympic gold,0
40875,naomi campbell will face-off with lady gaga in 'american horror story: hotel',0
2763,pigeon to invoke power of flight,1
39563,larry nassar was allowed to see patients during sexual assault investigation,0
10007,same-sex parents still face legal complications,0
17500,a view to a kill: leopard leaps from tree to attack impala,0
8069,bouncer moved to tears by tale of friends already in club,1
46588,paul ryan says he and steve bannon are 'different kinds of conservatives',0
39628,voters excited to use midterms to put country back on different wrong track,1
29094,teen on verge of either joining isis or getting super into rollerblading,1
17504,hippie will tell you what the real crime is,1
1647,dad's marine corps training evident during christmas-present opening,1
38516,mysterious carving of a woman's face emerges during church restoration,0
48360,"man craving some kind of human connection that would let him know he's not alone in this world, sliders",1
53711,scientists close to developing life-saving vaccine that they can rub in faces of their doubters,1
52105,weird things people bring to airports that cause long security lines,0
14714,gun lobbyist warns gun owners could resort to 'bullet box' if they don't like election results,0
7440,home-schooled student opens fire on breakfast nook,1
24864,michael jeffreyton wishes screenwriter had given him more believable name,1
7059,man carefully selects t-shirt for night out,1
54796,"independent spirit award nominee andrea suarez paz: ""i hope to play something impossible""",0
18788,kindergarten class burning through 6 hamsters a year,1
11213,why obama should ask congress for an isis aumf,0
38185,old man with foggy eye not even magical,1
44819,why these men bucked tradition and wore an engagement ring,0
8058,area man afraid some woman might come out of the woodwork to hold him accountable for something,1
32277,"whoa, classmate got totally hideous over summer vacation",1
23728,dormant supervolcano underneath yellowstone figures now as good a time as any,1
13533,drexel professor says 'white genocide' holiday wish was 'satirical',0
52449,chuck schumer warns trump not to ruin budget talks by getting involved,0
12440,college student still managing to look like asshole in picture of village he helped build,1
41189,miracle dog gives birth to septuplets,1
26669,"brilliant, innovative ceo just wrote words 'social media' on whiteboard and underlined it",1
10879,"geo group whistleblower exposes first amendment violations, lack of officer training, and poor conditions at the adelanto detention center",0
603,last 12 years a real wake-up call for area man,1
42784,'squi' rockets to most popular baby name of 2018,1
37459,hydraulic press crushes every ounce of cheer out of the holidays,0
48762,nate silver ages 40 years after accidentally using polling projection model on self,1
15693,north dakota drinks itself to sleep again,1
17307,14-word diet stretched to 200 pages,1
1437,"conan o'brien receives rough reception in haiti, because of donald trump",0
49364,flock of suicidal geese drinking up the courage to down jetliner,1
12433,"barbara bush in 'failing health,' won't seek more medical treatment",0
47073,"smiley face doodled on check commemorates undeniable chemistry between waiter, ericson family",1
7131,study finds chimpanzees only other animal capable of keeping lid on friend's affair,1
11561,austin street sign vandalized in tribute to david bowie; city lets it stay,0
17753,massive document leak reveals offshore wealth of putin and his allies,0
5577,high tech hospital could shake up children's healthcare,0
34416,lazy fda approves x-ray vision pills,1
6665,the bible could become tennessee's official state book,0
51837,6 ugly facts about the jets' latest debacle,0
39526,"expert on international jewish conspiracy has never been more than 40 miles outside council bluffs, iowa",1
33605,why runners can't stop talking about themselves,0
42013,man competitive about how depressed he is,1
15832,"just a heads up, your eyelashes are probably crawling with mites",0
11156,queen elizabeth hoping she dies before having to knight any djs,1
8896,ross ice shelf embarks on world tour,1
589,school bully not so tough since being molested,1
45813,report: some people wake up when it's still dark outside,1
14888,north korea fires short-range missile along its coast,0
24819,busy philipps consoles michelle williams on 10th anniversary of heath ledger's death,0
44639,jobless after 50? here's what to do first.,0
45236,what your brain actually does when you multitask,0
39354,nevada secretary of state unveils new 'i voted' pasties,1
40455,woman to be ordained despite excommunication threat,0
1055,elementary schooler clearly just learned to swear,1
52170,fox news now just airing continuous blood-red screen with disembodied voice chanting 'they're coming to kill you',1
21141,rules for selling during winter months,0
52921,moderator asks candidates to be specific when describing hellscape country will become if they not elected,1
39986,eating like an idiot for a weekend in san francisco,0
16484,smiley scrubbing bubbles devour area child,1
6696,jim carrey's scathing portrait of trump as the joker will give you nightmares,0
15436,the catalan independence movement just scored a huge victory,0
26440,transplanting marijuana: myth to mainstream america,0
11344,is the two-state concept still alive in israel?,0
7552,donors who can't give to christie campaign give to his super pac,0
27636,nation's older brothers recommend not being such a little bitch,1
50149,woman jealous of horse's eyelashes,1
8427,florida state university suspends greek life after student's death,0
44618,judge joe brown begins jail sentence for contempt of court charge,0
29258,donald trump gave the pope a sculpture his holiness will probably regift,0
46135,nation excited for some insane k-pop shit during opening ceremony,1
52126,engineers still unable to produce styrofoam cup without little center nub sticking out from bottom,1
41753,sperm can't remember why it came into womb,1
42239,outgoing hhs secretary tommy thompson caught with briefcase full of flu vaccine,1
32245,terrorism fan site full of spoilers,1
48279,27-year-old regrets 'funky cold medina' tattoo,1
43879,tom hanks in carly rae jepsen's 'i really like you' video is oddly entertaining without music,0
23514,trainers share the worst fitness advice they've ever heard,0
6875,an nfl guide to employee management,0
43158,real estate agent warns syrian couple about neighborhood's high war crime rate,1
52097,vegan soldier keeps asking everyone if they want their bread,1
32884,retired pope benedict pledges to donate soul for ecclesiastic research,1
46187,32-year-old actress dies of old age,1
50186,rc car works up courage to approach group of girls,1
32046,chinese food emojis? chinese food emojis!,0
21267,midlife sex: myths vs. reality,0
22680,heroic pants enter 19th day of continuous duty,1
41800,a quick reminder that sexual assault is not about lust -- it's about power and control,0
31330,senator moved to tears after reading constituent's heartfelt check,1
37586,lucky old woman getting wheeled around airport,1
39219,5 lessons from a twenty-something divorcée,0
54122,how to make the most gorgeous summer dinner ever,0
6909,1-800-eat-shit finally publishes decades of reckless-driving data,1
42020,john bolton insists iran likely harboring dangerous terrorist osama bin laden,1
15228,"this season, the nfl got political. roger goodell is still trying to pretend it's not.",0
47698,'kimmy schmidt' star tituss burgess follows up 'peeno noir' with ode to multicultural penis,0
30665,why atlanta could elect its first white mayor in 4 decades,0
47989,outback employees return from mandatory 6-month walkabout in australian wilderness,1
5066,"struggling mom puts camper on sale to buy gifts, facebook responds with presents",0
42321,report: more american children raised by carjackers who didn't realize there was someone in backseat,1
37501,sharon tate's sister rips 'tacky' hilary duff film about manson family murder,0
38520,gop voters want an outsider. can marco rubio convince them he is one?,0
35665,universe honors david bowie with emotional starlight vigil,1
32244,harambe's grandmother euthanized at miami zoo,0
18709,these #ionceoverheard tweets will make you feel like a genius,0
20829,do we risk having two-tier access to renewable energy?,0
34215,mind-body therapies to ease insomnia,0
41361,man treats mother to detail about his personal life,1
28040,the damaging stigmas men of color in makeup face,0
30099,director for aspca commercial demands sadder looking dogs,1
32716,congress might actually pass a permanent 9/11 bill,0
30076,marco rubio makes huge push to gain millennial voters,0
8963,saudi-uae push to mobilize tribes against qatari emir,0
5140,social media startup looking for smug little fuck to take leadership role,1
52190,applicant who actually faced punishment for sexual assault clearly not yale material,1
7227,meat industry introduces new easy-tear perforated beef,1
6168,"stage door: lypsinka! the trilogy, billy & ray, mozart's the magic flute",0
25934,attractive woman surprised to learn coworker a dick,1
33342,pet gerbil has been absolutely crushing it lately,1
34873,horde of orange monsters exits local tanning salon,1
16414,donald trump & vaccines: is he ready to be responsible for a children's epidemic?,0
