,FN_text,FN_index
0,your high school boyfriend still smoking cigarettes in the field behind school,2
1,department of labor response team seals off toxic workplace environment,10
2,new york's finest protect new york's richest,22
3,fisher-price designer would like to see 2-year-old try and choke on newest version,88
4,conspiracy theorist starting to think racism may be institutionalized in america,93
5,turnout lower than expected for gala central african awards,120
6,police say conditions too nippy to rescue missing hiker,128
7,'brain games' recalls thousands of defective word puzzles that gave users alzheimer's,141
8,cigarette tax hike to pay for iraq war,174
9,breakroom tension at all-time high following mug dispute,194
10,wallace shawn emerges as frontrunner to replace daniel craig as james bond,212
11,rnc taps dennis hastert to lead new youth outreach program,213
12,"spielberg panics, adds comical groin injuries to 'lincoln'",233
13,mitt romney reaches out to young voters with laser tag pizza party,244
14,travel mug regales other mugs with stories from road,272
15,seasonal depression to take over for chronic depression for a few months,278
16,psychic phone service devastates competition by only hiring the best psychics,289
17,proud billionaire helps young son open first offshore bank account,302
18,chuck schumer condemns mitch mcconnell for being way better at this than him,339
19,"authorities claim the true austin bomber was everyone who failed this sensitive, promising kid",364
20,tired but changed-for-the-better friends meet at bar to discuss their thematically linked days,378
21,"indonesian mother sews halloween costumes for 60,000 children",395
22,michelle obama to dnc: 'after this election you dipshits are on your own',430
23,trump vehemently denies using word 'people' to describe african immigrants,435
24,vital info on iraqi chemical weapons provided by u.s. company that made them,441
25,trouble again in tv's africa,465
26,trump slammed for signing john mccain defense bill without praising how many people it will kill,470
27,thank-you note passive-aggressive,477
28,gears of war crimes court finds 2006 locust horde massacre justified,495
29,garroting survivors call for wire ban,513
30,hate-crime bill stalled by pro-hate lobby,555
31,track winnings reinvested in blackjack futures,562
32,"new romney ad claims candidate does not oppose women in cases of rape, incest",585
33,"mainstream media at it again, bloggers report",611
34,standoff in ivory coast threatens to boil over into full-scale news blurb,626
35,"government official who makes perfectly valid, well-reasoned point against israel forced to resign",648
36,queen elizabeth to think mainly about her approaching death throughout olympics ceremony,667
37,melania idly wonders if she would get heads-up about nuclear missile headed toward new york,677
38,statue of liberty corporation to shut down all but new york flagship statue,682
39,inside: what the stars were wearing at terrible movie's gala premiere,686
40,trump slams worldwide jewish conspiracy for not doing more to prevent synagogue shooting,691
41,palestinians prepare for massive ground invasion,701
42,7-eleven shareholders approve sale of busch light six-pack,719
43,perfect gentleman does not assault drunk woman,741
44,lone mexican in mexican restaurant doing the dishes,760
45,congolese rebel can't bring himself to care about congolese war,762
46,chris farley has hilarious cardiac arrest,783
47,terrorist plot foiled after concert security taps woman's purse,816
