,FP_text,FP_index
0,famed chef homaro cantu found dead,1
1,r.l. stine releases 'goosebumps' titles his publisher rejected,9
2,from ball turret gunner to guerilla fighter,12
3,drunk man incites panic after jumping on bar and praising allah: police,19
4,which roadtrip movie character are you?,21
5,teen disfigured by catcaller's pipe attack,32
6,trump suggests iran brought deadly terrorist attacks upon itself,38
7,pele hospitalized for back surgery,41
8,modcloth goes one step further,65
9,"lice invade espn makeup and hair studios, deadspin reports",71
10,israeli ambassador explains netanyahu's statements on potential palestinian state,108
11,chaka khan collaborates with terri lyne carrington on sinatra's 'i'm a fool to want you',126
12,"waking, dreaming, being",150
13,heroic officer rescues skunk on same street where he once saved ducklings,153
14,trash reading,165
15,iran releases 4 american prisoners after months of top-secret negotiations,168
16,barry jenkins quietly makes history with oscar nomination trifecta,179
17,eye surgery lets abused dog see his rescuer for the very first time,192
18,men behaving badly,198
19,"black, male, mad as hell",203
20,banyan's breakfast smoothie,266
21,shaky ukrainian ceasefire largely holds,268
22,emeritus pope benedict to attend weekend's canonizations,277
23,football's black eye,311
24,"loose-lipped rudy giuliani does not represent u.s. on foreign policy, warns state department",341
25,"my worst audition ever?  or, the danger of playing paddle ball, chewing gum, and singing ""we built this city"" simultaneously",363
26,body found near where kayaker went missing,371
27,"americans' respect for police soars to highest point in 50 years, survey finds",377
28,"satyajit ray's apu trilogy premieres at moma, again",407
29,tesla's difficult month just got a little worse,418
30,republican mississippi senator's long political past holds clues his time may be up,437
31,turkey's president calls hitler's germany example of effective government,457
32,madonna teases new song at surprise met gala performance,475
33,"emerald nuts, roland peppers recalled for possible glass contamination",493
34,pixies release secret song for record store day,497
35,melinda gates wrote a powerful essay on how birth control empowers women,503
36,reporter hailed a 'patriot' for defying white house by live-streaming press briefing,518
37,rupert murdoch bashes as 'nonsense' concerns about sexual harassment at fox,520
38,report: kimora lee is pregnant,533
39,new yorker releases cover it would have run if hillary clinton had won,599
40,nypd weighs allowing chokeholds following eric garner death,602
41,'the world of postsecret' reveals what lurks in the hearts of man,622
42,earth day: eating bean burgers beats measuring cheeseburgers,645
43,'very angry badger' seizes part of 500-year-old scottish castle,655
44,obama: 'i'm going to do what i can through executive action' on immigration,659
45,"caring for every preemie, every day",660
46,will greater israel transform into greater palestine?,661
47,trey gowdy and his gop colleagues embarrassed themselves,673
48,obama responds to 8-year-old who has really big 'politics worries',680
49,paul rudd celebrates kansas city royals' win by getting showered with beer,681
50,man huffs keyboard spray after crash as cop watches,697
51,kanye wishes the kardashians' reality show was shot like kubrick,714
52,pastor blasts supreme court's gay wedding cake case in unhinged rant,769
53,starving for a fantasy,781
54,woman claims to reenact michael phelps affair in 'going for the gold' porno,795
55,hating refugees is pretty much as american as apple pie,811
56,"'new hampshire' episode 4: not just for old, white people",834
57,ammon bundy says he's following directions from god,837
58,older but still young at heart,839
59,gop wants nasa to stop worrying about earth and focus on space,884
60,conservative fury falls on ryan,899
61,who needs 10 fps when you can have 1 frame every 10 minutes? 5 min portrait 1850's edition,916
62,drunk birds slur their 'words' just like humans,939
63,new mayor drives around in giant snail car,947
64,uber escalates war with regulators over self-driving cars,950
65,passport robot tells man of asian descent his eyes are too closed,958
66,aid for syrians stuck on border due to political bickering,983
67,best of abu dhabi: aditya vikram sengupta's labour of love,1003
68,supreme court makes slip-up in death penalty case,1038
69,scared of dying,1045
70,pwc confirms partner responsible for best picture mishap,1058
71,rand paul's time on main debate stage could be running out,1059
72,study can't confirm results of many psychology experiments,1060
73,david axelrod suggests hillary clinton will be seen as less complex alternative to obama,1130
74,full-circle friendship rooted in triple negative breast cancer,1141
75,mike huckabee's benghazi tattoo joke goes hilariously wrong,1191
76,"singapore airlines flight catches fire, no casualties",1215
77,"overheard in minnesota, dontcha know?",1235
78,96-year-old style legend iris apfel just got her very own barbie,1236
79,"rubio lays out new, hardline position on immigration",1252
80,american tourist punched for giving nazi salute in germany,1253
81,mom sentenced for encouraging boyfriend's sex assault on baby,1264
82,the surprising benefit of going through hard times,1265
83,ted cruz will name carly fiorina as his running mate if he wins gop nomination,1276
84,report kenan thompson is leaving 'snl' deemed 'inaccurate',1302
85,bikini-clad britney spends spring break with her sons,1321
86,somali pirates free 26 asian sailors after 4 years in captivity,1341
87,yesterday's news stands becoming tomorrow's healthy eating hotspots,1353
88,"astronaut tim peake completes london marathon in space, sets world record",1356
89,killer mike: 'uterus' comment was taken out of context,1381
90,jay z hopes kalief browder's story will 'save a lot of lives',1428
91,"man tracks down long-lost daughter on social media after 9 years, grandma refuses to let them meet",1430
92,twitter doesn't tire of knocking conor mcgregor's stamina,1466
93,shaun white called out by accuser's lawyer for minimizing sexual harassment,1471
